brand,model,de_price,uk_price,nl_price,acceleration,top_speed,range,efficiency,fastcharge,towing_capacity,useable_battery,v2l,v2h,v2g,availability,year
,,74500,,76900,45,200,440,205,460,1200,90.0,No,No,No,Available to order since July 2023,2023
,,86811,,91950,69,210,475,202,660,750,96.0,No,No,No,Available to order since October 2023,2023
,,,52130,,85,160,425,180,660,1000,76.6,No,H,G,Available to order since August 2021,2023
,,44490,33795,,82,160,340,174,240,0,59.3,No,No,No,Available to order since April 2023,2023
,,95200,85500,96500,47,210,470,228,610,2200,107.0,L,H,G,Available to order since November 2022,2023
,,64248,76368,,120,160,310,290,310,0,90.0,No,No,No,Available to order since October 2020,2023
,,68970,,68490,38,200,500,188,700,2000,94.0,No,No,No,Available to order since September 2023,2023
,,61990,50845,54990,57,200,405,215,480,1500,87.0,No,No,No,Available to order since July 2022,2023
,,24990,,,120,135,150,180,,0,27.0,No,No,No,Available to order since December 2022,2023
,,45970,,45990,56,180,360,178,540,1600,64.0,No,No,No,Available to order since October 2023,2023
,,,108760,,49,210,435,208,650,1800,90.6,No,No,No,Available to order since December 2022,2023
,,59500,,62700,40,200,395,178,530,1400,70.5,No,No,No,Available to order since December 2022,2023
,,39000,31200,35320,90,150,290,160,460,0,46.3,No,No,No,Available to order since August 2023,2023
,,47500,48355,50995,73,180,355,186,430,1500,66.0,No,No,No,Available to order since December 2022,2023
,,40750,39205,47490,66,160,345,168,460,0,58.0,No,No,No,Available to order since March 2022,2023
,,40540,37200,39640,90,150,300,169,480,0,50.8,No,No,No,Available to order since November 2022,2023
,,155009,,173825,34,250,535,203,800,750,108.4,No,No,No,Available to order since June 2023,2023
,,110650,100555,98495,49,180,450,238,590,2200,107.0,L,H,G,Available to order since December 2022,2023
,,55519,55000,61379,80,160,345,193,500,1700,66.5,No,No,No,Available to order since October 2023,2023
,,39990,,,126,132,225,200,230,1500,45.0,No,No,No,Available to order since October 2023,2023
,,49445,,47753,126,132,225,200,230,1500,45.0,No,No,No,Available to order since June 2023,2023
,,56455,55365,64000,55,180,430,179,640,1200,77.0,No,H,G,Available to order since October 2023,2023
,,50000,47180,53000,56,180,370,175,530,1200,64.7,No,No,No,Availability not found,2023
,,,,61188,41,200,460,180,640,0,82.7,L,No,No,Available to order since February 2023,2023
,,,135000,150000,41,220,405,235,440,0,95.0,No,No,No,Availability not found,2023
,,76650,70300,73785,60,200,445,200,690,1800,89.0,No,No,No,Available to order since December 2022,2023
,,77300,68000,79200,37,200,425,214,380,750,91.0,No,No,No,Available to order since October 2023,2023
,,36990,,35490,90,150,235,159,390,0,37.3,No,No,No,Available to order since November 2020,2023
,,93139,79200,98663,54,230,420,169,1030,0,71.0,No,No,No,Available to order since January 2023,2023
,,58197,57000,69728,62,160,345,193,500,1700,66.5,No,No,No,Available to order since October 2023,2023
,,124545,,,52,210,490,221,730,1800,108.4,No,No,No,Available to order since December 2022,2023
,,53090,,,80,150,390,208,290,0,81.0,No,No,No,Available to order since February 2023,2023
,,74149,,86263,63,210,510,175,640,750,89.0,No,No,No,Available to order since June 2023,2023
,,,,83495,84,180,460,220,600,1200,101.0,L,H,G,Available to order since July 2023,2023
,,49490,,,82,160,330,180,230,0,59.3,No,No,No,Available to order since April 2023,2023
,,69200,69805,,49,225,440,188,880,0,82.5,No,No,No,Available to order since June 2022,2023
,,50000,44000,50000,60,170,370,197,430,0,73.0,L,No,No,Availability not found,2023
,,,47495,,75,160,340,188,170,0,64.0,No,No,No,Available to order since April 2023,2023
,,114609,129470,,60,210,490,221,730,1800,108.4,No,No,No,Available to order since December 2022,2023
,,65275,57950,66400,42,205,450,176,670,1500,79.0,No,No,No,Available to order since January 2023,2023
,,67300,65105,,42,235,350,211,860,1800,74.0,No,No,No,Available to order since October 2022,2023
,,54950,,56865,66,180,395,195,590,1400,77.0,No,H,G,Available to order since September 2023,2023
,,61050,53120,,55,180,435,177,650,1200,77.0,No,H,G,Available to order since September 2023,2023
,,40150,,46895,112,135,205,226,330,750,46.3,No,No,No,Available to order since April 2022,2023
,,,,47990,88,160,355,163,480,1000,58.0,No,No,No,Available to order since October 2023,2023
,,88215,,113488,47,210,505,179,750,750,90.6,No,No,No,Available to order since June 2023,2023
,,61000,,66665,54,180,415,186,620,1400,77.0,No,H,G,Available to order since September 2023,2023
,,56950,,58915,66,180,415,186,620,1400,77.0,No,H,G,Available to order since September 2023,2023
,,70995,77345,83238,64,210,515,173,650,750,89.0,No,No,No,Available to order since June 2023,2023
,,125378,,,48,210,590,184,880,750,108.4,No,No,No,Available to order since June 2023,2023
,,98050,100000,101535,45,210,480,221,610,1800,106.0,No,No,No,Available to order since May 2023,2023
,,,58510,,62,180,400,192,570,1200,76.6,No,H,G,Available to order since August 2021,2023
,,56942,,57123,133,130,265,257,290,1000,68.0,No,No,No,Available to order since October 2020,2023
,,139438,133860,149788,35,240,410,221,610,1800,90.6,No,No,No,Available to order since May 2023,2023
,,,56000,63400,62,180,350,207,430,750,72.6,No,No,No,Available to order since October 2023,2023
,,120081,94996,126395,40,250,480,174,1180,0,83.7,No,No,No,Available to order since January 2023,2023
,,89548,,99089,66,210,435,208,550,1800,90.6,No,No,No,Available to order since October 2023,2023
,,71490,,64990,51,200,405,215,480,1500,87.0,No,No,No,Available to order since April 2023,2023
,,103254,88200,109064,51,220,440,190,1080,0,83.7,No,No,No,Available to order since January 2023,2023
,,57940,,57367,143,130,265,257,290,1000,68.0,No,No,No,Available to order since February 2021,2023
,,42000,38000,37999,90,150,290,175,460,0,50.8,No,No,No,Available to order since October 2023,2023
,,83479,,,76,210,450,201,570,750,90.6,No,No,No,Available to order since October 2023,2023
,,65500,,67900,45,200,350,201,470,1200,70.5,No,No,No,Available to order since July 2023,2023
,,37800,,45495,112,135,210,220,330,750,46.3,No,No,No,Available to order since April 2022,2023
,,46490,,,39,180,320,194,490,1600,62.0,No,No,No,Available to order since June 2023,2023
,,37990,34195,38490,70,155,225,168,370,0,37.8,No,No,No,Available to order since May 2023,2023
,,52990,,53900,59,200,425,206,550,0,87.7,No,No,No,Available to order since November 2023,2023
,,,52500,62990,82,150,165,175,230,0,28.9,No,No,No,Available to order since February 2023,2023
,,124920,,130791,43,210,415,218,620,1800,90.6,No,No,No,Available to order since December 2022,2023
,,43050,34085,39434,117,135,205,226,330,750,46.3,No,No,No,Available to order since October 2021,2023
,,37990,34195,37490,90,150,230,162,380,0,37.3,No,No,No,Available to order since November 2020,2023
,,140858,111200,147563,37,250,425,197,1050,0,83.7,No,No,No,Available to order since February 2022,2023
,,56424,55000,67308,60,160,355,187,510,1800,66.5,No,No,No,Available to order since October 2023,2023
,,94091,80200,99563,54,230,380,187,930,0,71.0,No,No,No,Available to order since March 2022,2023
,,,,30990,90,135,135,158,230,0,21.3,No,No,No,Available to order since July 2022,2023
,,114559,90700,120564,40,250,415,171,1020,0,71.0,No,No,No,Available to order since January 2023,2023
,,64530,,,131,130,265,257,290,1000,68.0,No,No,No,Available to order since October 2021,2023
,,42440,35120,41430,117,135,200,232,320,750,46.3,No,No,No,Available to order since July 2021,2023
,,57940,,57022,133,130,265,257,290,1000,68.0,No,No,No,Available to order since November 2020,2023
,,65140,83850,,120,160,305,295,310,0,90.0,No,No,No,Available to order since October 2020,2023
,,53520,53000,58959,77,160,355,187,510,1800,66.5,No,No,No,Available to order since October 2023,2023
,,110706,114750,128613,35,220,465,195,690,750,90.6,No,No,No,Available to order since June 2023,2023
,,65385,,77445,131,130,260,262,280,1000,68.0,No,No,No,Available to order since October 2021,2023
,,70075,,68134,133,130,260,262,280,1000,68.0,No,No,No,Available to order since February 2021,2023
,,63200,58365,,55,200,380,195,990,1600,74.0,L,No,No,Available to order since June 2022,2023
,,47588,,48975,70,160,350,171,430,0,60.0,No,No,No,Available to order since December 2022,2023
,,,32845,,99,157,230,170,200,0,39.2,No,No,No,Available to order since September 2022,2023
,,53640,37045,57083,121,130,185,250,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,119914,95200,126064,41,240,440,190,1080,0,83.7,No,No,No,Available to order since January 2023,2023
,,73100,67505,,40,235,365,203,950,1600,74.0,L,No,No,Available to order since June 2022,2023
,,40990,37195,41490,70,155,225,168,370,0,37.8,No,No,No,Available to order since May 2023,2023
,,41240,33120,39620,117,135,205,226,330,750,46.3,No,No,No,Available to order since July 2021,2023
,,104756,,111068,42,210,465,195,690,750,90.6,No,No,No,Available to order since June 2023,2023
,,164420,125800,171763,32,260,445,188,1090,0,83.7,No,No,No,Available to order since January 2023,2023
,,53640,42785,57428,131,130,185,250,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,60430,,68378,143,130,260,262,280,1000,68.0,No,No,No,Available to order since February 2021,2023
,,58730,,59303,143,130,260,262,280,1000,68.0,No,No,No,Available to order since February 2021,2023
,,59640,,66442,143,130,265,257,290,1000,68.0,No,No,No,Available to order since February 2021,2023
,,62990,,,133,130,260,262,280,1000,68.0,No,No,No,Available to order since June 2022,2023
,,72519,,84809,121,160,310,290,310,0,90.0,No,No,No,Available to order since October 2020,2023
,,99815,84654,105607,54,230,445,188,1090,0,83.7,No,No,No,Available to order since March 2022,2023
,,85900,,88900,39,200,340,207,460,2000,70.5,No,No,No,Available to order since December 2022,2023
,,198692,149300,207163,28,260,395,212,970,0,83.7,No,No,No,Available to order since March 2022,2023
,,51940,,48008,121,130,185,250,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,35490,,31990,90,135,135,158,230,0,21.3,No,No,No,Available to order since July 2022,2023
,,68056,,,120,160,210,286,200,0,60.0,No,No,No,Available to order since October 2021,2023
,,43640,33315,43556,117,135,205,226,330,750,46.3,No,No,No,Available to order since September 2021,2023
,,58890,,59790,55,200,425,206,550,0,87.7,No,No,No,Available to order since November 2023,2023
,,63250,42735,57183,121,130,185,250,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,165848,126800,173264,33,250,425,197,1050,0,83.7,No,No,No,Available to order since January 2023,2023
,,58730,,58958,133,130,260,262,280,1000,68.0,No,No,No,Available to order since November 2020,2023
,,59640,,66097,133,130,265,257,290,1000,68.0,No,No,No,Available to order since February 2021,2023
,,199168,149300,207664,29,250,410,204,1010,0,83.7,No,No,No,Available to order since January 2023,2023
,,52730,,50289,131,130,185,250,290,1000,46.3,No,No,No,Available to order since February 2021,2023
,,51825,37835,50044,121,130,180,257,290,1000,46.3,No,No,No,Available to order since October 2020,2023
,,61571,,,120,160,205,293,300,0,60.0,No,No,No,Available to order since January 2022,2023
,,165372,126800,172863,32,260,405,207,1000,0,83.7,No,No,No,Available to order since March 2022,2023
,,44750,34685,,117,135,200,232,320,750,46.3,No,No,No,Available to order since October 2021,2023
,,120081,95996,127294,40,250,430,195,1060,0,83.7,No,No,No,Available to order since March 2022,2023
,,61990,,,133,130,265,257,290,1000,68.0,No,No,No,Available to order since June 2022,2023
,,51940,,48353,131,130,185,250,290,1000,46.3,No,No,No,Available to order since February 2021,2023
,,60430,,68033,133,130,260,262,280,1000,68.0,No,No,No,Available to order since February 2021,2023
,,50992,36995,48108,121,130,185,250,290,1000,46.3,No,No,No,Available to order since October 2020,2023
,,69250,,66198,133,130,265,257,290,1000,68.0,No,No,No,Available to order since February 2021,2023
,,114559,91700,121463,40,250,370,192,910,0,71.0,No,No,No,Available to order since March 2022,2023
,,60678,,,120,160,210,286,310,0,60.0,No,No,No,Available to order since January 2022,2023
,,56990,,,121,130,180,257,290,1000,46.3,No,No,No,Available to order since June 2022,2023
,,52730,,49944,121,130,180,257,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,64075,43575,59119,121,130,180,257,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,54430,43625,59364,131,130,185,250,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,54430,37885,59019,121,130,180,257,290,1000,46.3,No,No,No,Available to order since November 2020,2023
,,57775,,59059,133,130,260,262,280,1000,68.0,No,No,No,Available to order since October 2020,2023
,,55990,,,121,130,185,250,290,1000,46.3,No,No,No,Available to order since June 2022,2023
,,68949,,,120,160,210,286,200,0,60.0,No,No,No,Available to order since October 2021,2023
