brand,model,de_price,uk_price,nl_price,acceleration,top_speed,range,efficiency,fastcharge,towing_capacity,useable_battery,v2l,v2h,v2g,availability,year
GMC,HUMMER EV PICKUP,146050,119000,154835,33,250,405,210,1000,0,85.0,No,No,No,Available to order since March 2021,2023
GMC,HUMMER EV SUV,48900,44540,49990,67,180,455,169,680,1000,77.0,No,H,G,Available to order since September 2023,2023
GMC,HUMMER EV SUV,29990,26000,29990,100,150,255,176,260,0,44.9,No,No,No,Available to order since July 2023,2023
GMC,HUMMER EV SUV,54000,47040,50895,74,185,495,149,1290,1500,74.0,L,No,No,Available to order since December 2022,2023
GMC,HUMMER EV SUV,76490,,71495,60,200,425,226,740,2500,96.0,L,H,G,Available to order since September 2023,2023
HYUNDAI,IONIQ,,49750,,86,160,420,168,580,750,70.5,No,No,No,Available to order since June 2022,2023
HYUNDAI,IONIQ,56500,49995,59362,60,190,430,156,580,1600,67.0,No,No,No,Available to order since November 2022,2023
HYUNDAI,IONIQ,39995,37115,44990,73,160,350,166,450,0,58.0,No,No,No,Available to order since March 2023,2023
HYUNDAI,IONIQ,47900,46945,52895,73,185,390,190,1020,1600,74.0,L,No,No,Available to order since April 2022,2023
HYUNDAI,IONIQ,28000,,24190,126,135,135,158,,0,21.3,No,No,No,Available to order since November 2020,2023
HYUNDAI,IONIQ,35700,32550,38690,73,150,180,161,260,0,28.9,No,No,No,Available to order since March 2021,2023
HYUNDAI,IONIQ,218000,,222000,29,270,685,172,870,0,118.0,L,H,G,Available to order since January 2022,2023
HYUNDAI,IONIQ,36040,31995,37830,97,150,290,160,460,0,46.3,No,No,No,Available to order since November 2021,2023
HYUNDAI,IONIQ,63970,,63490,38,200,505,186,700,2000,94.0,No,No,No,Available to order since September 2023,2023
HYUNDAI,IONIQ,64581,58915,66160,102,145,345,223,480,1000,77.0,No,H,G,Available to order since September 2022,2023
HYUNDAI,IONIQ,48990,43450,48895,39,180,315,197,490,1600,62.0,No,No,No,Available to order since March 2023,2023
HYUNDAI,IONIQ,47590,44995,48750,76,160,335,185,300,0,61.9,No,No,No,Available to order since June 2023,2023
HYUNDAI,IONIQ,,65000,,34,260,385,208,950,0,80.0,L,No,No,Available to order since November 2023,2023
HYUNDAI,IONIQ,58990,44645,47990,76,160,450,193,540,750,87.0,No,No,No,Available to order since July 2022,2023
HYUNDAI,KONA ELECTRIC,,33930,,81,150,295,157,470,0,46.3,No,No,No,Available to order since November 2021,2023
JAGUAR,I-PACE EV400,33400,28995,35090,79,144,235,166,230,0,39.0,No,H,G,Available to order since March 2022,2023
JAGUAR,I-PACE EV400,47900,45465,48316,83,170,390,166,560,750,64.7,No,No,No,Available to order since September 2023,2023
KIA,EV6 RWD SR,45990,36495,41285,65,180,425,175,430,500,74.4,L,No,No,Available to order since August 2023,2023
KIA,EV6 WIND RWD LR,46335,46035,52000,67,180,435,177,650,1000,77.0,No,H,G,Available to order since October 2023,2023
KIA,EV6 WIND AWD LR,55000,48000,55000,90,170,505,194,660,0,98.0,L,No,No,Availability not found,2023
KIA,EV6 GT-LINE RWD LR,95990,89500,98690,45,250,495,220,1040,2250,109.0,No,No,No,Available to order since March 2023,2023
KIA,EV6 GT-LINE AWD LR,43490,37000,42500,67,180,355,175,550,1600,62.0,No,No,No,Availability not found,2023
KIA,EV6 GT AWD LR,36590,33795,36795,57,180,280,175,430,1000,49.0,No,No,No,Available to order since June 2023,2023
KIA,NIRO EV,41990,37795,39999,92,170,305,167,490,0,50.8,No,No,No,Available to order since June 2023,2023
LEXUS,RZ,46450,41975,51990,70,160,450,171,630,0,77.0,No,H,G,Available to order since March 2022,2023
LEXUS,RZ,46990,36495,42285,38,200,320,193,560,500,61.7,L,No,No,Available to order since August 2023,2023
LEXUS,RZ,43900,43445,49295,85,185,295,183,720,750,54.0,L,No,No,Available to order since July 2021,2023
LORDSTOWN,ENDURANCE,54475,48950,55200,62,205,470,168,700,1500,79.0,No,No,No,Available to order since January 2023,2023
LUCID,AIR PURE RWD,69950,60880,,39,205,530,201,630,1820,106.5,No,No,No,Available to order since March 2023,2023
LUCID,AIR PURE RWD,65000,60000,65000,38,200,465,202,690,2000,94.0,L,No,No,Availability not found,2023
LUCID,AIR PURE AWD,35990,31250,36440,97,140,170,176,210,0,30.0,No,No,No,Available to order since May 2022,2023
LUCID,AIR PURE AWD,37840,29995,36195,95,140,310,168,230,0,52.0,No,No,No,Available to order since November 2019,2023
LUCID,AIR TOURING AWD,68000,64500,67495,56,160,320,200,480,750,64.0,No,No,No,Available to order since February 2023,2023
LUCID,AIR TOURING AWD,38490,30995,38885,77,185,335,171,330,500,57.4,L,No,No,Available to order since March 2022,2023
LUCID,AIR TOURING AWD,50990,45000,51000,37,180,330,188,510,1600,62.0,No,No,No,Availability not found,2023
LUCID,AIR GRAND TOURING AWD,57000,49880,58990,42,200,535,199,640,1820,106.5,No,No,No,Available to order since March 2023,2023
LUCID,AIR GRAND TOURING AWD,60970,,60490,72,200,530,177,740,1500,94.0,No,No,No,Available to order since September 2023,2023
LUCID,AIR GRAND TOURING AWD,100970,105000,100993,39,250,475,200,660,2250,95.0,No,No,No,Available to order since January 2023,2023
LUCID,AIR GRAND TOURING PERFORMANCE,57490,49995,56395,69,160,320,200,480,750,64.0,No,No,No,Available to order since June 2022,2023
LUCID,AIR SAPPHIRE,109551,,112720,61,210,635,171,950,750,108.4,No,No,No,Available to order since June 2023,2023
MAZDA,MX-30,40650,36610,36999,92,150,260,178,420,0,46.3,No,No,No,Available to order since November 2021,2023
MERCEDES,EQB,51150,46440,52990,67,180,485,159,720,1000,77.0,No,H,G,Available to order since September 2023,2023
MERCEDES,EQB,,56810,,62,160,340,196,490,0,66.5,No,No,No,Available to order since February 2022,2023
MERCEDES,EQB,44765,42025,43585,98,170,300,169,450,0,50.8,No,No,No,Available to order since April 2023,2023
MERCEDES,EQE,53514,,54966,89,160,415,170,560,1400,70.5,No,No,No,Available to order since October 2023,2023
MERCEDES,EQE,59200,50445,60995,51,185,385,192,1010,1600,74.0,L,No,No,Available to order since April 2022,2023
MERCEDES,EQE,53000,,51495,73,180,405,195,600,1500,79.0,No,No,No,Available to order since December 2022,2023
MERCEDES,AMG EQE,81900,,84900,38,200,400,176,540,2000,70.5,No,No,No,Available to order since October 2022,2023
MERCEDES,EQE,99500,97745,108427,38,230,425,191,630,2000,81.2,No,No,No,Available to order since May 2023,2023
MERCEDES,EQE,87550,80300,85385,56,200,525,202,660,1800,106.0,No,No,No,Available to order since December 2022,2023
MERCEDES,EQE,48490,40995,49995,36,180,360,178,540,1600,64.0,No,No,No,Available to order since June 2023,2023
MERCEDES,EQS,36400,,,99,155,245,160,210,0,39.2,No,No,No,Available to order since June 2021,2023
MERCEDES,EQS,55980,51745,59995,52,185,400,185,1050,1600,74.0,L,No,No,Available to order since October 2021,2023
MERCEDES,EQS,136100,122775,138383,38,250,485,217,650,2500,105.2,No,No,No,Available to order since April 2022,2023
MERCEDES,AMG EQS,46990,,44485,79,200,365,192,400,750,70.0,L,No,No,Available to order since October 2021,2023
MERCEDES,EQS,36490,31000,35990,90,150,305,167,490,0,50.8,No,No,No,Available to order since July 2023,2023
MERCEDES,EQS,68500,,71700,40,200,500,180,520,1400,90.0,No,No,No,Available to order since December 2022,2023
MERCEDES,EQS,59950,51755,59995,48,180,390,203,580,1800,79.0,No,No,No,Available to order since December 2022,2023
MINI,COOPER SE HARDTOP,106050,87800,111115,41,245,420,202,1030,0,85.0,No,No,No,Available to order since March 2021,2023
NISSAN,ARIYA ENGAGE FWD,68990,65290,,92,180,365,230,330,1000,84.0,No,No,No,Available to order since February 2023,2023
NISSAN,ARIYA ENGAGE E-4ORCE AWD,43900,,45895,88,185,365,148,900,750,54.0,L,No,No,Available to order since January 2023,2023
NISSAN,ARIYA VENTURE+ FWD,45765,38000,44875,90,150,300,169,450,0,50.8,No,No,No,Available to order since August 2023,2023
NISSAN,ARIYA EVOLVE+ FWD,,55310,,80,160,340,196,490,0,66.5,No,No,No,Available to order since February 2022,2023
NISSAN,ARIYA EMPOWER+ FWD,60000,55000,60000,74,180,495,190,740,1500,94.0,L,No,No,Availability not found,2023
NISSAN,ARIYA PREMIERE FWD,115970,120000,115993,26,262,455,209,630,2250,95.0,No,No,No,Available to order since November 2022,2023
NISSAN,ARIYA ENGAGE+ E-4ORCE AWD,57390,52510,59995,69,160,315,203,470,750,64.0,No,No,No,Available to order since June 2022,2023
NISSAN,ARIYA EVOLVE+ E-4ORCE AWD,,,82028,64,210,530,171,790,750,90.6,No,No,No,Available to order since June 2023,2023
NISSAN,ARIYA PLINUM+ E-4ORCE AWD,48970,50940,56000,67,180,455,169,680,1000,77.0,No,H,G,Available to order since October 2023,2023
